id,name,text
1,Всеки ден,"Добрата молитва (стр. 6)
Псалом 91 (стр. 67)
Псалом 23 (стр. 69)
Господнята молитва (стр. 5)
„Да се прослави Бог...“ (стр. 112)"
2,Неделя,"„В начало бе Словото“ (стр. 127)
Добрата молитва (стр. 6)
Псалом 61 (стр. 71)"
3,Понеделник,"„Благославяй“ (стр. 194)
Молитва на Царството (стр. 11)
Псалом 143 (стр. 73)"
4,Вторник,"„Ще се развеселя“ (стр. 235)
Пътят на живота (стр. 12)
Псалом 27 (стр. 75)"
5,Сряда,"„Песен на светлия път“ (стр. 169)
Молитва на Братството (стр. 8)
Псалом 19 (стр. 77)
Псалом 103 (стр. 79)"
6,Четвъртък,"„Той иде“ (стр. 186)
Плодовете на Духа (стр. 14)
Псалом 112 (стр. 82)"
7,Петък,"„Фир-фюр-фен“ (стр. 188)
Молитва на Триединния Бог (стр. 16)
Псалом 44 (стр. 83)"
8,Събота,"„Бог е Любов“ (стр. 123)
Малката молитва (стр. 10)
Псалом 25 (стр. 86)"
9,НАРЯД ЗА ЗАМИНАЛИ,"Молитва за заминали I (стр. 67);
Молитва за заминали II (стр. 68);
Молитва на Вселенната Милост 
(стр. 65);
Псалом 23 (стр. 73);
Псалом 121 (стр. 75);
Молитва на Данаил (стр. 64);
14-а глава от Евангелие на Йоана;
Формули за заминали."
